sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,sy_dist
2,1,0,Radial Velocity,2007,Ground,93.1846000
2,1,0,Radial Velocity,2007,Ground,93.1846000
2,1,0,Radial Velocity,2007,Ground,93.1846000
1,1,0,Radial Velocity,2009,Ground,125.3210000
1,1,0,Radial Velocity,2009,Ground,125.3210000
1,1,0,Radial Velocity,2009,Ground,125.3210000
1,1,0,Radial Velocity,2008,Ground,75.4392000
1,1,0,Radial Velocity,2008,Ground,75.4392000
1,1,0,Radial Velocity,2008,Ground,75.4392000
1,2,0,Radial Velocity,2002,Ground,17.9323000
1,2,0,Radial Velocity,2002,Ground,17.9323000
1,2,0,Radial Velocity,2002,Ground,17.9323000
1,2,0,Radial Velocity,2002,Ground,17.9323000
1,2,0,Radial Velocity,2002,Ground,17.9323000
1,2,0,Radial Velocity,2002,Ground,17.9323000
1,2,0,Radial Velocity,2002,Ground,17.9323000
1,2,0,Radial Velocity,2002,Ground,17.9323000
3,1,0,Radial Velocity,1996,Ground,21.1397000
3,1,0,Radial Velocity,1996,Ground,21.1397000
3,1,0,Radial Velocity,1996,Ground,21.1397000
3,1,0,Radial Velocity,1996,Ground,21.1397000
3,1,0,Radial Velocity,1996,Ground,21.1397000
3,1,0,Radial Velocity,1996,Ground,21.1397000
1,1,0,Radial Velocity,2020,Ground,124.9530000
2,1,0,Radial Velocity,2008,Ground,76.2220000
2,1,0,Radial Velocity,2008,Ground,76.2220000
2,1,0,Radial Velocity,2008,Ground,76.2220000
1,1,0,Imaging,2008,Ground,139.1350000
1,1,0,Imaging,2008,Ground,139.1350000
1,1,0,Imaging,2008,Ground,139.1350000
1,1,0,Imaging,2008,Ground,139.1350000
1,1,0,Radial Velocity,2018,Ground,95.9863000
1,1,0,Radial Velocity,2018,Ground,95.9863000
1,2,0,Radial Velocity,2010,Ground,72.0691000
1,2,0,Radial Velocity,2010,Ground,72.0691000
1,1,0,Imaging,2021,Ground,128.4840000
2,1,0,Imaging,2013,Ground,
1,1,0,Imaging,2013,Ground,33.8281000
1,1,0,Imaging,2013,Ground,33.8281000
1,1,0,Imaging,2015,Ground,
1,1,0,Imaging,2010,Space,
1,1,0,Imaging,2004,Ground,64.3080000
1,1,0,Imaging,2004,Ground,64.3080000
2,3,0,Eclipse Timing Variations,2015,Space,396.3320000
2,3,0,Eclipse Timing Variations,2015,Space,396.3320000
1,1,0,Imaging,2016,Ground,69.5737000
4,1,0,Radial Velocity,2009,Ground,44.6570000
4,1,0,Radial Velocity,2009,Ground,44.6570000
4,1,0,Radial Velocity,2009,Ground,44.6570000
1,1,0,Radial Velocity,2006,Ground,73.4603000
1,1,0,Radial Velocity,2006,Ground,73.4603000
2,1,0,Radial Velocity,2008,Ground,90.6545000
1,3,0,Radial Velocity,1996,Ground,13.7967000
1,3,0,Radial Velocity,1996,Ground,13.7967000
1,3,0,Radial Velocity,1996,Ground,13.7967000
1,3,0,Radial Velocity,1996,Ground,13.7967000
1,3,0,Radial Velocity,1996,Ground,13.7967000
1,3,0,Radial Velocity,2001,Ground,13.7967000
1,3,0,Radial Velocity,2001,Ground,13.7967000
1,3,0,Radial Velocity,2001,Ground,13.7967000
1,3,0,Radial Velocity,2009,Ground,13.7967000
1,3,0,Radial Velocity,2009,Ground,13.7967000
3,1,0,Imaging,2015,Ground,29.7575000
3,1,0,Imaging,2015,Ground,29.7575000
3,1,0,Imaging,2015,Ground,29.7575000
1,1,0,Radial Velocity,1995,Ground,15.4614000
1,1,0,Radial Velocity,1995,Ground,15.4614000
1,1,0,Radial Velocity,1995,Ground,15.4614000
1,1,0,Radial Velocity,1995,Ground,15.4614000
1,1,0,Radial Velocity,1995,Ground,15.4614000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,1996,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2002,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2004,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
2,5,0,Radial Velocity,2007,Ground,12.5855000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,1,0,Radial Velocity,2008,Ground,54.6599000
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,3,0,Radial Velocity,2009,Ground,8.5033200
1,2,0,Radial Velocity,2011,Ground,19.8101000
1,2,0,Radial Velocity,2011,Ground,19.8101000
1,2,0,Radial Velocity,2011,Ground,19.8101000
1,2,0,Radial Velocity,2019,Ground,19.8101000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
1,1,0,Radial Velocity,1996,Ground,17.9011000
2,2,0,Radial Velocity,2012,Ground,82.9613000
2,2,0,Radial Velocity,2012,Ground,82.9613000
2,2,0,Radial Velocity,2023,Ground,82.9613000
1,1,0,Radial Velocity,2015,Ground,162.5520000
1,1,0,Radial Velocity,2015,Ground,162.5520000
1,1,0,Radial Velocity,2008,Ground,101.2600000
1,1,0,Radial Velocity,2008,Ground,101.2600000
1,1,0,Radial Velocity,2008,Ground,101.2600000
3,1,0,Radial Velocity,2013,Ground,44.0304000
1,1,0,Imaging,2022,Ground,162.1270000
1,1,0,Imaging,2005,Ground,50.0475000
1,1,0,Imaging,2023,Ground,26.8564000
1,1,0,Imaging,2023,Ground,26.8564000
1,1,0,Imaging,2023,Ground,26.8564000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2020,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
1,2,0,Transit,2021,Space,9.7221000
